Feature,Importance
PAY_0,0.6488078879989488
PAY_2,0.13135507337841196
PAY_AMT3,0.04574844632841938
PAY_5,0.031598021621946706
BILL_AMT1,0.03024928663508502
LIMIT_BAL,0.02961055136912262
PAY_3,0.013794893934469542
AGE,0.010236650273263894
PAY_4,0.009202904475891963
PAY_AMT5,0.007851651345873902
EDUCATION,0.006619283917340331
PAY_AMT6,0.006260038631331956
BILL_AMT2,0.005672009115127444
PAY_AMT2,0.005175679189713979
SEX,0.0038464265552876817
PAY_6,0.003267132545345611
BILL_AMT6,0.0029327322038364316
BILL_AMT5,0.00262449562784879
BILL_AMT3,0.0019312954948994198
PAY_AMT1,0.0014718690431539923
BILL_AMT4,0.0009291973263737356
MARRIAGE,0.000814472988306556
PAY_AMT4,0.0
